CIF_Name,Neigh_Order,sym,is_new_sym,Energy
Al1Au1_AlAg_sym11_6_0,1_Neigh,11,False,-3.854
Al1Au1_AlAg_sym166_3_0,1_Neigh,166,False,-3.829
Al1Au1_GaAg_sym59_3_0,1_Neigh,59,True,-3.829
Al1Au1_InAu_sym194_5_0,2_Neigh,194,True,-3.773
Al1Au1_InCu_sym191_0_0,2_Neigh,191,True,-3.77
Al1Au1_InAu_sym194_7_0,2_Neigh,194,True,-3.743
Al1Au1_MgGa_sym12_20_0,3_Neigh,12,False,-3.741
Al1Au1_MgGa_sym12_6_0,3_Neigh,12,False,-3.741
Al1Au1_MgGa_sym38_7_0,3_Neigh,38,True,-3.727
Al1Au1_MgGa_sym62_41_0,3_Neigh,62,True,-3.722
Al1Au1_MgGa_sym38_21_0,3_Neigh,38,True,-3.716
Al1Au1_MgGa_sym88_0_0,3_Neigh,88,True,-3.714
Al1Au1_MgGa_sym59_51_0,3_Neigh,59,True,-3.713
Al1Au1_MgGa_sym8_25_0,3_Neigh,8,True,-3.711
Al1Au1_InAu_sym194_6_0,2_Neigh,194,True,-3.71
Al1Au1_MgGa_sym8_11_0,3_Neigh,8,True,-3.708
Al1Au1_MgGa_sym5_18_0,3_Neigh,5,True,-3.708
Al1Au1_MgGa_sym5_4_0,3_Neigh,5,True,-3.708
Al1Au1_MgGa_sym59_10_0,3_Neigh,59,True,-3.708
Al1Au1_MgGa_sym59_24_0,3_Neigh,59,True,-3.706
Al1Au1_MgGa_sym57_44_0,3_Neigh,57,True,-3.7
Al1Au1_MgGa_sym38_1_0,3_Neigh,38,True,-3.692
Al1Au1_MgGa_sym38_15_0,3_Neigh,38,True,-3.692
Al1Au1_MgGa_sym26_46_0,3_Neigh,26,True,-3.69
Al1Au1_MgGa_sym59_45_0,3_Neigh,59,True,-3.689
Al1Au1_MgGa_sym6_39_0,3_Neigh,6,True,-3.688
Al1Au1_InAg_sym191_0_0,2_Neigh,191,True,-3.686
Al1Au1_MgGa_sym26_34_0,3_Neigh,26,True,-3.681
Al1Au1_MgGa_sym6_37_0,3_Neigh,6,True,-3.68
Al1Au1_MgGa_sym59_36_0,3_Neigh,59,True,-3.68
Al1Au1_MgGa_sym38_2_0,3_Neigh,38,True,-3.678
Al1Au1_MgGa_sym38_16_0,3_Neigh,38,True,-3.678
Al1Au1_MgGa_sym8_19_0,3_Neigh,8,True,-3.674
Al1Au1_MgGa_sym8_5_0,3_Neigh,8,True,-3.674
Al1Au1_InAu_sym191_11_0,2_Neigh,191,True,-3.673
Al1Au1_MgGa_sym6_38_0,3_Neigh,6,True,-3.67
Al1Au1_InAu_sym63_8_0,2_Neigh,63,True,-3.669
Al1Au1_MgGa_sym8_12_0,3_Neigh,8,True,-3.667
Al1Au1_MgGa_sym8_26_0,3_Neigh,8,True,-3.666
Al1Au1_MgGa_sym57_32_0,3_Neigh,57,True,-3.663
Al1Au1_MgGa_sym6_33_0,3_Neigh,6,True,-3.66
Al1Au1_MgGa_sym59_35_0,3_Neigh,59,True,-3.657
Al1Au1_MgGa_sym25_48_0,3_Neigh,25,True,-3.655
Al1Au1_MgGa_sym6_47_0,3_Neigh,6,True,-3.654
Al1Au1_MgGa_sym187_40_0,3_Neigh,187,False,-3.652
Al1Au1_MgGa_sym38_22_0,3_Neigh,38,True,-3.637
Al1Au1_TlAu_sym194_0_0,3_Neigh,194,True,-3.636
Al1Au1_MgGa_sym38_8_0,3_Neigh,38,True,-3.636
Al1Au1_MgHg_sym62_43_0,3_Neigh,62,True,-3.618
Al1Au1_MgHg_sym57_46_0,3_Neigh,57,True,-3.618
Al1Au1_MgGa_sym156_9_0,3_Neigh,156,True,-3.606
Al1Au1_MgGa_sym156_23_0,3_Neigh,156,True,-3.603
Al1Au1_MgHg_sym59_40_0,3_Neigh,59,True,-3.601
Al1Au1_MgHg_sym12_20_0,3_Neigh,12,False,-3.589
Al1Au1_MgHg_sym12_5_0,3_Neigh,12,False,-3.588
Al1Au1_MgHg_sym59_24_0,3_Neigh,59,True,-3.581
Al1Au1_MgHg_sym8_25_0,3_Neigh,8,True,-3.58
Al1Au1_MgHg_sym8_10_0,3_Neigh,8,True,-3.579
Al1Au1_MgHg_sym59_9_0,3_Neigh,59,True,-3.578
Al1Au1_MgGa_sym59_42_0,3_Neigh,59,True,-3.577
Al1Au1_MgHg_sym26_48_0,3_Neigh,26,True,-3.574
Al1Au1_MgHg_sym38_21_0,3_Neigh,38,True,-3.571
Al1Au1_MgHg_sym38_6_0,3_Neigh,38,True,-3.571
Al1Au1_MgHg_sym59_37_0,3_Neigh,59,True,-3.568
Al1Au1_MgHg_sym38_16_0,3_Neigh,38,True,-3.556
Al1Au1_MgHg_sym38_1_0,3_Neigh,38,True,-3.556
Al1Au1_MgHg_sym5_18_0,3_Neigh,5,True,-3.552
Al1Au1_MgHg_sym26_35_0,3_Neigh,26,True,-3.552
Al1Au1_MgHg_sym5_3_0,3_Neigh,5,True,-3.551
Al1Au1_MgGa_sym164_28_0,3_Neigh,164,True,-3.551
Al1Au1_MgGa_sym164_14_0,3_Neigh,164,True,-3.549
Al1Au1_MgHg_sym6_38_0,3_Neigh,6,True,-3.546
Al1Au1_MgHg_sym6_41_0,3_Neigh,6,True,-3.542
Al1Au1_MgHg_sym6_39_0,3_Neigh,6,True,-3.527
Al1Au1_MgHg_sym59_47_0,3_Neigh,59,True,-3.519
Al1Au1_MgHg_sym38_2_0,3_Neigh,38,True,-3.516
Al1Au1_MgHg_sym38_17_0,3_Neigh,38,True,-3.514
