CIF_Name,Neigh_Order,sym,is_new_sym,Energy
Al1Au1_AlAg_sym11_6_0,1_Neigh,11,False,-3.854
Al1Au1_AlAg_sym166_3_0,1_Neigh,166,False,-3.829
Al1Au1_GaAg_sym59_3_0,1_Neigh,59,True,-3.829
Al1Au1_InAu_sym194_5_0,2_Neigh,194,True,-3.773
Al1Au1_InCu_sym191_0_0,2_Neigh,191,True,-3.77
Al1Au1_MgGa_sym12_20_0,3_Neigh,12,False,-3.741
Al1Au1_MgGa_sym38_7_0,3_Neigh,38,True,-3.727
Al1Au1_MgGa_sym62_41_0,3_Neigh,62,True,-3.722
Al1Au1_MgGa_sym88_0_0,3_Neigh,88,True,-3.714
Al1Au1_MgGa_sym8_25_0,3_Neigh,8,True,-3.711
Al1Au1_MgGa_sym5_18_0,3_Neigh,5,True,-3.708
Al1Au1_MgGa_sym57_44_0,3_Neigh,57,True,-3.7
Al1Au1_MgGa_sym26_46_0,3_Neigh,26,True,-3.69
Al1Au1_MgGa_sym6_39_0,3_Neigh,6,True,-3.688
Al1Au1_InAu_sym63_8_0,2_Neigh,63,True,-3.669
Al1Au1_MgGa_sym25_48_0,3_Neigh,25,True,-3.655
Al1Au1_MgGa_sym187_40_0,3_Neigh,187,False,-3.652
Al1Au1_MgGa_sym156_9_0,3_Neigh,156,True,-3.606
Al1Au1_MgGa_sym164_28_0,3_Neigh,164,True,-3.551
Al1Au1_TlAu_sym2_1_0,3_Neigh,2,True,-3.448
Al1Au1_MgTl_sym198_10_0,3_Neigh,198,True,-3.285
