CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc,Energy
Mg1H1_BeF_sym216_4_0,1_Neigh,216,False,False,-2.668
Mg1H1_MgF_sym216_5_0,1_Neigh,216,False,False,-2.637
Mg1H1_MgF_sym186_6_0,1_Neigh,186,False,False,-2.635
Mg1H1_BeF_sym225_3_0,1_Neigh,225,False,False,-2.619
Mg1H1_ZnF_sym216_4_0,1_Neigh,216,False,False,-2.615
Mg1H1_ZnF_sym225_3_0,1_Neigh,225,False,False,-2.574
Mg1H1_MgF_sym225_3_0,1_Neigh,225,False,False,-2.564
Mg1H1_MgF_sym166_1_0,1_Neigh,166,False,True,-2.505
Mg1H1_MgF_sym187_7_0,1_Neigh,187,False,False,-2.496
Mg1H1_ZnF_sym221_0_0,1_Neigh,221,False,False,-2.461
Mg1H1_BeF_sym221_0_0,1_Neigh,221,False,False,-2.455
Mg1H1_MgF_sym221_0_0,1_Neigh,221,False,False,-2.435
Mg1H1_MgF_sym51_4_0,1_Neigh,51,False,True,-2.419
Mg1H1_ZnF_sym166_1_0,1_Neigh,166,False,True,-2.415
Mg1H1_MgF_sym123_2_0,1_Neigh,123,False,False,-2.41
Mg1H1_ZnF_sym187_5_0,1_Neigh,187,False,False,-2.403
Mg1H1_CdF_sym225_3_0,2_Neigh,225,False,False,-2.4
Mg1H1_CdF_sym221_0_0,2_Neigh,221,False,False,-2.384
Mg1H1_BeCl_sym166_0_0,2_Neigh,166,False,True,-2.383
Mg1H1_CdF_sym187_5_0,2_Neigh,187,False,False,-2.37
Mg1H1_CdF_sym166_1_0,2_Neigh,166,False,True,-2.359
Mg1H1_ZnF_sym123_2_0,1_Neigh,123,False,False,-2.357
Mg1H1_CdF_sym123_2_0,2_Neigh,123,False,False,-2.353
Mg1H1_CdF_sym216_4_0,2_Neigh,216,False,False,-2.351
Mg1H1_BeF_sym166_1_0,1_Neigh,166,False,True,-2.29
Mg1H1_MgCl_sym166_7_0,2_Neigh,166,False,True,-2.197
Mg1H1_ZnCl_sym187_5_0,2_Neigh,187,False,False,-2.088
Mg1H1_BeF_sym186_5_0,1_Neigh,186,False,True,-2.084
Mg1H1_BeF_sym123_2_0,1_Neigh,123,False,True,-2.034
Mg1H1_MgCl_sym186_6_0,2_Neigh,186,False,True,-2.022
Mg1H1_ZnCl_sym166_1_0,2_Neigh,166,False,False,-1.997
Mg1H1_ZnCl_sym221_0_0,2_Neigh,221,False,False,-1.991
Mg1H1_ZnCl_sym123_2_0,2_Neigh,123,False,False,-1.989
Mg1H1_MgCl_sym51_5_0,2_Neigh,51,False,False,-1.875
Mg1H1_MgCl_sym166_1_0,2_Neigh,166,False,True,-1.867
Mg1H1_ZnCl_sym225_3_0,2_Neigh,225,False,False,-1.866
Mg1H1_ZnCl_sym216_4_0,2_Neigh,216,False,False,-1.824
Mg1H1_MgCl_sym216_4_0,2_Neigh,216,False,False,-1.763
Mg1H1_CdCl_sym187_5_0,2_Neigh,187,False,False,-1.705
Mg1H1_MgCl_sym221_0_0,2_Neigh,221,False,False,-1.686
Mg1H1_CdCl_sym166_1_0,2_Neigh,166,False,True,-1.636
Mg1H1_MgCl_sym123_2_0,2_Neigh,123,False,False,-1.602
Mg1H1_MgCl_sym225_3_0,2_Neigh,225,False,False,-1.593
Mg1H1_CdCl_sym216_4_0,2_Neigh,216,False,False,-1.592
Mg1H1_CdCl_sym225_3_0,2_Neigh,225,False,False,-1.516
Mg1H1_CdCl_sym123_2_0,2_Neigh,123,False,False,-1.482
Mg1H1_CdCl_sym221_0_0,2_Neigh,221,False,False,-1.478
