CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc
Mg1H1_MgCl_sym186_6_0,2_Neigh,186,False,True
Mg1H1_ZnCl_sym221_0_0,2_Neigh,221,False,False
Mg1H1_CdF_sym221_0_0,2_Neigh,221,False,False
Mg1H1_CdCl_sym221_0_0,2_Neigh,221,False,False
Mg1H1_MgCl_sym221_0_0,2_Neigh,221,False,False
Mg1H1_ZnCl_sym123_2_0,2_Neigh,123,False,False
Mg1H1_MgCl_sym123_2_0,2_Neigh,123,False,False
Mg1H1_CdCl_sym123_2_0,2_Neigh,123,False,False
Mg1H1_CdF_sym123_2_0,2_Neigh,123,False,False
Mg1H1_ZnCl_sym187_5_0,2_Neigh,187,False,False
Mg1H1_CdCl_sym187_5_0,2_Neigh,187,False,False
Mg1H1_CdF_sym187_5_0,2_Neigh,187,False,False
Mg1H1_CdF_sym216_4_0,2_Neigh,216,False,False
Mg1H1_ZnCl_sym216_4_0,2_Neigh,216,False,False
Mg1H1_MgCl_sym216_4_0,2_Neigh,216,False,False
Mg1H1_CdCl_sym216_4_0,2_Neigh,216,False,False
Mg1H1_ZnCl_sym225_3_0,2_Neigh,225,False,False
Mg1H1_CdCl_sym225_3_0,2_Neigh,225,False,False
Mg1H1_MgCl_sym225_3_0,2_Neigh,225,False,False
Mg1H1_CdF_sym225_3_0,2_Neigh,225,False,False
Mg1H1_ZnCl_sym166_1_0,2_Neigh,166,False,False
Mg1H1_MgCl_sym166_1_0,2_Neigh,166,False,True
Mg1H1_CdF_sym166_1_0,2_Neigh,166,False,True
Mg1H1_BeCl_sym166_0_0,2_Neigh,166,False,True
Mg1H1_MgCl_sym166_7_0,2_Neigh,166,False,True
Mg1H1_CdCl_sym166_1_0,2_Neigh,166,False,True
Mg1H1_MgCl_sym51_5_0,2_Neigh,51,False,False
Mg1H1_BeF_sym186_5_0,1_Neigh,186,False,True
Mg1H1_MgF_sym186_6_0,1_Neigh,186,False,False
Mg1H1_MgF_sym221_0_0,1_Neigh,221,False,False
Mg1H1_ZnF_sym221_0_0,1_Neigh,221,False,False
Mg1H1_BeF_sym221_0_0,1_Neigh,221,False,False
Mg1H1_BeF_sym123_2_0,1_Neigh,123,False,True
Mg1H1_MgF_sym123_2_0,1_Neigh,123,False,False
Mg1H1_ZnF_sym123_2_0,1_Neigh,123,False,False
Mg1H1_ZnF_sym187_5_0,1_Neigh,187,False,False
Mg1H1_MgF_sym187_7_0,1_Neigh,187,False,False
Mg1H1_MgF_sym216_5_0,1_Neigh,216,False,False
Mg1H1_ZnF_sym216_4_0,1_Neigh,216,False,False
Mg1H1_BeF_sym216_4_0,1_Neigh,216,False,False
Mg1H1_MgF_sym225_3_0,1_Neigh,225,False,False
Mg1H1_ZnF_sym225_3_0,1_Neigh,225,False,False
Mg1H1_BeF_sym225_3_0,1_Neigh,225,False,False
Mg1H1_MgF_sym166_1_0,1_Neigh,166,False,True
Mg1H1_BeF_sym166_1_0,1_Neigh,166,False,True
Mg1H1_ZnF_sym166_1_0,1_Neigh,166,False,True
Mg1H1_MgF_sym51_4_0,1_Neigh,51,False,True
